epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,184.908,0.57706,0.84028,0.50792,0.98636,0.92526,0.47217,0.80159,0.60507,0.92526,0.47217,0.79357,0.54886,0.9575,2.05839,1.63503,1.38257,0.000792325,0.000792325,0.000792325
55,188.287,0.61518,0.8974,0.52037,1.0083,0.49396,0.88189,0.81472,0.60048,0.49396,0.88189,0.81472,0.581,1.03335,1.99299,1.54781,1.45059,0.000775822,0.000775822,0.000775822
56,191.72,0.5641,0.8479,0.48741,0.96438,0.75994,0.73286,0.80834,0.57642,0.75994,0.73286,0.79891,0.5776,1.06293,1.99426,1.22803,1.40101,0.000759318,0.000759318,0.000759318
57,195.069,0.58232,0.86129,0.49611,0.96182,0.87443,0.79163,0.85386,0.58911,0.87443,0.79163,0.83644,0.6095,0.95999,1.91505,1.04444,1.31602,0.000742815,0.000742815,0.000742815
58,198.483,0.59777,0.77562,0.50198,0.98655,0.84617,0.8,0.86806,0.63669,0.84617,0.8,0.84988,0.59278,0.85666,2.0418,1.00777,1.30569,0.000726312,0.000726312,0.000726312
59,201.867,0.59006,0.86568,0.49108,0.97547,0.74901,0.825,0.86493,0.64594,0.74901,0.825,0.8509,0.61722,0.90807,2.18403,1.04045,1.36007,0.000709809,0.000709809,0.000709809
60,205.262,0.59423,0.83371,0.48552,0.97832,0.77456,0.7,0.82154,0.59291,0.77456,0.7,0.81723,0.56674,0.97447,2.38381,1.22469,1.43355,0.000693305,0.000693305,0.000693305
61,208.562,0.54256,0.74475,0.48065,0.97649,0.80445,0.74859,0.81424,0.5444,0.80445,0.74859,0.80953,0.55856,1.00268,2.21701,1.13827,1.49983,0.000676802,0.000676802,0.000676802
62,211.877,0.54194,0.74399,0.46729,0.97317,0.7141,0.875,0.72569,0.48002,0.66221,0.825,0.70504,0.50875,1.16545,2.05406,1.32306,1.61014,0.000660299,0.000660299,0.000660299
63,215.205,0.58611,0.84844,0.48588,0.9691,0.71669,0.875,0.68966,0.43982,0.66497,0.825,0.63973,0.45211,1.2908,2.16995,1.32012,1.7737,0.000643795,0.000643795,0.000643795
64,218.602,0.56842,0.75943,0.46206,0.95096,0.70204,0.85,0.66744,0.41383,0.675,0.825,0.64707,0.44026,1.38345,2.11463,1.44838,1.83885,0.000627292,0.000627292,0.000627292
65,221.909,0.5359,0.73537,0.45399,0.97404,0.71019,0.85,0.64656,0.40445,0.71019,0.85,0.6442,0.42783,1.45765,2.06419,1.48068,1.9261,0.000610789,0.000610789,0.000610789
66,225.241,0.56759,0.76582,0.4572,0.97512,0.63124,0.75,0.62082,0.35818,0.56851,0.7,0.55385,0.36865,1.47189,1.98512,1.64378,1.86932,0.000594286,0.000594286,0.000594286
